Field_ID,Type,Required,Controlled_Values,Description,Version
$defs.bounded_decision.scope.function,string,YES,,,v4.2
$defs.bounded_decision.scope.jurisdiction,string,YES,,,v4.2
$defs.bounded_decision.scope.evidence_freeze_id,string,YES,,,v4.2
$defs.bounded_decision.strongest_supported_claim,string,YES,,,v4.2
$defs.bounded_decision.prohibited_inferences,array,YES,,,v4.2
$defs.bounded_decision.prohibited_inferences[],string,NO,,,v4.2
$defs.bounded_decision.p0_nonconformities,array,YES,,,v4.2
$defs.bounded_decision.p0_nonconformities[],string,NO,,,v4.2
$defs.bounded_decision.p1_conditions,array,YES,,,v4.2
$defs.bounded_decision.p1_conditions[],string,NO,,,v4.2
$defs.bounded_decision.participant_conditions_and_dissent,array,NO,,,v4.2
$defs.bounded_decision.participant_conditions_and_dissent[],string,NO,,,v4.2
$defs.bounded_decision.jurisdictional_conflicts,array,NO,,,v4.2
$defs.bounded_decision.jurisdictional_conflicts[],string,NO,,,v4.2
$defs.bounded_decision.residual_risks,array,YES,,,v4.2
$defs.bounded_decision.residual_risks[],string,NO,,,v4.2
$defs.bounded_decision.exceptions,array,NO,,,v4.2
$defs.bounded_decision.exceptions[],string,NO,,,v4.2
$defs.bounded_decision.expiry,string,YES,,,v4.2
$defs.bounded_decision.reopening_triggers,array,YES,,,v4.2
$defs.bounded_decision.reopening_triggers[],string,NO,,,v4.2
$defs.bounded_decision.signatures,array,NO,,,v4.2
$defs.bounded_decision.signatures[],,NO,,,v4.2
$defs.bounded_decision.decision_limitations,array,NO,,,v4.2
$defs.bounded_decision.decision_limitations[],string,NO,,,v4.2
$defs.deployment_state,object,NO,,,v4.2
$defs.deployment_state.current_states,array,YES,,,v4.2
